Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: cat
Parent(s): cat_015.dat cat_013.dat cat_017.dat cat_011.dat
  1.618190e+00   4.274530e-01   5.524320e-02
  1.620920e+00   4.378720e-01   5.570730e-02
  1.623660e+00   4.318470e-01   5.594060e-02
  1.626390e+00   4.408440e-01   5.572880e-02
  1.629130e+00   4.589540e-01   5.527140e-02
  1.631860e+00   3.710750e-01   5.529710e-02
  1.634590e+00   4.542930e-01   5.592020e-02
  1.637330e+00   3.779000e-01   5.574000e-02
  1.640060e+00   3.885640e-01   5.505620e-02
  1.642800e+00   3.556570e-01   5.555260e-02
  1.645530e+00   4.387230e-01   5.589790e-02
  1.648260e+00   3.698410e-01   5.543180e-02
  1.651000e+00   2.973880e-01   5.462740e-02
  1.653730e+00   3.813280e-01   5.521670e-02
  1.656470e+00   4.382900e-01   5.644600e-02
