Sample description: Apoferritin_1_ball extrapolated to I(0)
Sample: extrapolated  c= 1 mg/ml  Code: extrapolated
 1.588421e-001  2.641985e-002  1.943477e-004
 1.592244e-001  2.624547e-002  1.924515e-004
 1.596053e-001  2.607386e-002  1.915126e-004
 1.599862e-001  2.602035e-002  1.919342e-004
 1.603684e-001  2.614577e-002  1.916225e-004
 1.607493e-001  2.608177e-002  1.918503e-004
 1.611316e-001  2.603253e-002  1.909774e-004
 1.615124e-001  2.599712e-002  1.899372e-004
 1.618947e-001  2.586733e-002  1.899905e-004
 1.622756e-001  2.586624e-002  1.899108e-004
 1.626565e-001  2.596126e-002  1.897309e-004
 1.630387e-001  2.585097e-002  1.891776e-004
 1.634196e-001  2.593438e-002  1.889601e-004
 1.638019e-001  2.611197e-002  1.905831e-004
 1.641827e-001  2.589695e-002  1.877922e-004
 1.645650e-001  2.569461e-002  1.874222e-004
 1.649459e-001  2.585821e-002  1.877979e-004
 1.653268e-001  2.583688e-002  1.882346e-004
 1.657090e-001  2.568346e-002  1.862931e-004
 1.660899e-001  2.578112e-002  1.865749e-004
 1.664722e-001  2.558885e-002  1.865267e-004
 1.668530e-001  2.589885e-002  1.858567e-004
 1.672339e-001  2.572644e-002  1.867375e-004
 1.676162e-001  2.570843e-002  1.848905e-004
 1.679971e-001  2.602989e-002  1.879084e-004
 1.683793e-001  2.535343e-002  1.834702e-004
 1.687602e-001  2.544853e-002  1.840236e-004
 1.691425e-001  2.570784e-002  1.836368e-004
 1.695233e-001  2.574814e-002  1.838496e-004
 1.699042e-001  2.553611e-002  1.841999e-004
 1.702865e-001  2.556140e-002  1.827026e-004
 1.706674e-001  2.607551e-002  1.840507e-004
 1.710496e-001  2.600791e-002  1.833362e-004
 1.714305e-001  2.588951e-002  1.831214e-004
 1.718128e-001  2.591132e-002  1.836067e-004
 1.721936e-001  2.576836e-002  1.820870e-004
 1.725745e-001  2.587515e-002  1.824639e-004
 1.729568e-001  2.566371e-002  1.813837e-004
 1.733377e-001  2.557694e-002  1.815429e-004
 1.737199e-001  2.580955e-002  1.811698e-004
 1.741008e-001  2.581622e-002  1.811274e-004
 1.744831e-001  2.610623e-002  1.836147e-004
 1.748639e-001  2.587749e-002  1.812764e-004
 1.752448e-001  2.585756e-002  1.826034e-004
